timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
253871048;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;114.49963;2.492422;0.011724881
253981043;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;115.06773;2.614472;-0.11032496
254071202;473064008;388901527;82221;0.95900005;1.192;0.69;0.84999996;98;18;115.06773;2.7025266;-0.19837949
254181186;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.06773;2.7988353;-0.29468817
254281327;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.06773;2.8689313;-0.36478433
254371175;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;2.9244561;-0.42030895
254481074;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;2.9732866;-0.46913952
254571014;473064014;388901528;82589;0.961;1.1930001;0.69;0.84999996;98;18;115.08887;3.00492;-0.50077283
254680997;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.08887;3.025311;-0.52116394
254771106;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.23685;3.0406437;-0.5364967
254881065;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.23685;3.0516973;-0.5475501
254980877;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.15229;3.0665097;-0.5623628
255071227;473064043;388901529;82721;0.96300006;1.1910001;0.69;0.84999996;98;18;115.15229;3.0837612;-0.5796143
255180984;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.34254;3.1105378;-0.6063908
255271016;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.34254;3.133408;-0.62926114
255380898;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.405945;3.1597083;-0.65556115
255470829;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.405945;3.1786127;-0.6744657
255580803;473064072;388901533;82745;0.96400005;1.192;0.69;0.84999996;98;18;115.57242;3.19738;-0.6932331
255680789;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.57242;3.2101839;-0.70603675
255780958;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.300255;3.2214339;-0.7172869
255881009;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.300255;3.230012;-0.72586495
255970961;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.46937;3.2358928;-0.73174566
256080843;473064115;388901537;82824;0.96700007;1.192;0.69;0.84999996;98;18;115.46937;3.2393067;-0.7351596
256170648;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.46937;3.2419772;-0.7378301
256280862;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.46937;3.2419584;-0.7378114
256380785;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.405945;3.2420523;-0.7379052
256480711;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.405945;3.2386508;-0.73450375
256580684;473064144;388901538;82854;0.96800005;1.192;0.69;0.84999996;98;18;115.06773;3.2337112;-0.7295642
256670992;473064190;388901526;82804;0.97;1.192;0.69;0.84999996;98;18;115.06773;3.2261522;-0.7220052
256780653;473064190;388901526;82804;0.97;1.192;0.69;0.84999996;98;18;115.2157;3.213926;-0.70977896
256870562;473064190;388901526;82804;0.97;1.192;0.69;0.84999996;98;18;115.2157;3.20149;-0.6973428
256980799;473064190;388901526;82804;0.97;1.192;0.69;0.84999996;98;18;115.300255;3.1855555;-0.68140835
257080636;473064190;388901526;82804;0.97;1.192;0.69;0.84999996;98;18;115.300255;3.17096;-0.66681284
257180665;473064220;388901520;82733;0.97200006;1.1930001;0.69;0.84999996;99;18;115.38481;3.1575181;-0.6533711
257280503;473064220;388901520;82733;0.97200006;1.1930001;0.69;0.84999996;99;18;115.38481;3.1459327;-0.64178556
257380637;473064220;388901520;82733;0.97200006;1.1930001;0.69;0.84999996;99;18;115.17342;3.1332297;-0.62908274
257480829;473064220;388901520;82733;0.97200006;1.1930001;0.69;0.84999996;99;18;115.17342;3.1201992;-0.61605227
257570553;473064220;388901520;82733;0.97200006;1.1930001;0.69;0.84999996;99;18;115.25798;3.1073055;-0.6031586
257680516;473064266;388901509;82653;0.9760001;1.195;0.69;0.84999996;99;18;115.25798;3.0906684;-0.5865214
257780499;473064266;388901509;82653;0.9760001;1.195;0.69;0.84999996;99;18;115.23685;3.0745683;-0.5704211
257880556;473064266;388901509;82653;0.9760001;1.195;0.69;0.84999996;99;18;115.23685;3.0581026;-0.5539557
257980361;473064266;388901509;82653;0.9760001;1.195;0.69;0.84999996;99;18;115.17342;3.041763;-0.537616
258070375;473064266;388901509;82653;0.9760001;1.195;0.69;0.84999996;99;18;115.17342;3.028022;-0.52387494
258180429;473064298;388901507;82624;0.97800004;1.1960001;0.69;0.84999996;99;18;115.11001;3.011932;-0.5077848
258270546;473064298;388901507;82624;0.97800004;1.1960001;0.69;0.84999996;99;18;115.11001;2.9982646;-0.4941175
258380528;473064298;388901507;82624;0.97800004;1.1960001;0.69;0.84999996;99;18;115.17342;2.9802787;-0.47613162
258480361;473064298;388901507;82624;0.97800004;1.1960001;0.69;0.84999996;99;18;115.17342;2.9639816;-0.45983446
258580314;473064298;388901507;82624;0.97800004;1.1960001;0.69;0.84999996;99;18;115.2157;2.9489882;-0.44484112
258680454;473064345;388901511;82594;0.98200005;1.197;0.69;0.84999996;99;18;115.2157;2.935304;-0.43115696
258780594;473064345;388901511;82594;0.98200005;1.197;0.69;0.84999996;99;18;115.23685;2.9228427;-0.41869575
258880319;473064345;388901511;82594;0.98200005;1.197;0.69;0.84999996;99;18;115.23685;2.9103422;-0.40619504
258970315;473064345;388901511;82594;0.98200005;1.197;0.69;0.84999996;99;18;115.405945;2.900176;-0.39602897
259080535;473064345;388901511;82594;0.98200005;1.197;0.69;0.84999996;99;18;115.405945;2.8917222;-0.38757512
259180336;473064377;388901513;82632;0.9850001;1.199;0.69;0.84999996;99;18;115.25798;2.8893337;-0.3851868
259280184;473064377;388901513;82632;0.9850001;1.199;0.69;0.84999996;99;18;115.25798;2.8876593;-0.3835122
259380293;473064377;388901513;82632;0.9850001;1.199;0.69;0.84999996;99;18;115.00431;2.8860457;-0.3818987
259480237;473064377;388901513;82632;0.9850001;1.199;0.69;0.84999996;99;18;115.00431;2.885099;-0.3809518
259580112;473064377;388901513;82632;0.9850001;1.199;0.69;0.84999996;99;18;115.00431;2.8840435;-0.37989646
259670097;473064426;388901517;82626;0.989;1.2010001;0.69;0.84999996;99;18;115.00431;2.881962;-0.377815
259780265;473064426;388901517;82626;0.989;1.2010001;0.69;0.84999996;99;18;114.81671;2.8778558;-0.37370875
259880251;473064426;388901517;82626;0.989;1.2010001;0.69;0.84999996;99;18;114.81671;2.8722506;-0.3681035
259980245;473064426;388901517;82626;0.989;1.2010001;0.69;0.84999996;99;18;114.753296;2.8672082;-0.3630611
260080263;473064426;388901517;82626;0.989;1.2010001;0.69;0.84999996;99;18;114.753296;2.8601298;-0.35598266
260180102;473064458;388901519;82620;0.99200004;1.2030001;0.69;0.84999996;99;18;115.17342;2.8524911;-0.34834406
260280160;473064458;388901519;82620;0.99200004;1.2030001;0.69;0.84999996;99;18;115.17342;2.8454382;-0.34129125
260380262;473064458;388901519;82620;0.99200004;1.2030001;0.69;0.84999996;99;18;114.89862;2.838409;-0.3342619
260480020;473064458;388901519;82620;0.99200004;1.2030001;0.69;0.84999996;99;18;114.89862;2.8322082;-0.32806098
260580000;473064458;388901519;82620;0.99200004;1.2030001;0.69;0.84999996;99;18;114.83785;2.825149;-0.3210021
260680196;473064510;388901522;82597;0.99700004;1.205;0.69;0.84999996;99;18;114.83785;2.8190162;-0.31486914
260779980;473064510;388901522;82597;0.99700004;1.205;0.69;0.84999996;99;18;115.08887;2.8115442;-0.30739716
260880020;473064510;388901522;82597;0.99700004;1.205;0.69;0.84999996;99;18;115.08887;2.8047895;-0.30064237
